ID,Name,Concepticon_ID,Concepticon_Gloss
1-3rdpersonmasculine,3rd.person.masculine,1211,HE
2-agouti,agouti,313,AGOUTI
3-antsp,ant sp.,587,ANT
4-aracufish,aracu fish,,
5-armadillo,armadillo,1885,ARMADILLO
6-back,back,1291,BACK
7-bat,bat,1793,BAT
8-big,big,1202,BIG
9-black,black,163,BLACK
10-blackink,black_ink,2643,INK
11-blood,blood,946,BLOOD
12-blow,blow,175,BLOW (OF WIND)
13-bone,bone,1394,BONE
14-break,break,680,BREAK (DESTROY OR GET DESTROYED)
15-breast,breast,1402,BREAST
16-buritipalm,buriti palm,,
17-capybara,capybara,314,CAPYBARA
18-caradioscoreaalata,cará(Dioscorea alata),,
19-casenonnominatvie,Case: non-nominatvie,,
20-centipede,centipede,1974,CENTIPEDE
21-charcoal1,charcoal (1),1188,CHARCOAL
22-charcoal2,charcoal (2),1188,CHARCOAL
23-cheek,cheek,1730,CHEEK
24-chew,chew,321,CHEW
25-chili,chili,919,CHILI PEPPER
26-cold,cold,2483,COLD (OF WEATHER)
27-cut,cut,1432,CUT
28-dance,dance,1879,DANCE
29-deer,deer,1936,DEER
30-distant,distant,1406,FAR
31-dove,dove,1853,DOVE
32-duck,duck,1360,DUCK
33-ear,ear,1247,EAR
34-egg,egg,744,EGG
35-elder,elder,2112,OLD (AGED)
36-elevatedstructureshelvesroofetc,elevated structure (shelves roof etc.),,
37-end,end,742,END (OF SPACE)
38-excrement,excrement,675,FAECES (EXCREMENT)
39-face,face,1560,FACE
40-father,father,1217,FATHER
41-feminine,feminine,,FEMALE
42-fire,fire,221,FIRE
43-fish,fish,227,FISH
44-fishwithanet,fish with a net,2639,FISHING (WITH A NET)
45-fishingnet,fishing net,388,FISHNET
46-float,float,1574,FLOAT
47-flower,flower,239,FLOWER
48-foot,foot,1301,FOOT
49-fruitsp,fruit sp.,1507,FRUIT
50-garden,garden,586,GARDEN
51-gather,gather,7,GATHER
52-grandfather,grand-father,1383,GRANDFATHER
53-grape,grape,920,GRAPE
54-grass,grass,606,GRASS
55-green,green,1425,GREEN
56-handpalm,handpalm,1183,PALM OF HAND
57-head,head,1256,HEAD
58-heavy,heavy,1210,HEAVY
59-heron,heron,758,HERON
60-hole,hole,1667,HOLE
61-hot,hot,1286,HOT
62-house,house,1252,HOUSE
63-hummingbird,hummingbird,1589,HUMMINGBIRD
64-i,I,1209,I
65-ingafruitsp,inga (fruit sp.),,
66-insectsp,insect sp.,620,INSECT
67-jaguar,jaguar,1250,JAGUAR
68-jenipapo,jenipapo,,
69-kapok,kapok,2499,KAPOK TREE
70-kingfisher,king-fisher,2444,KINGFISHER
71-know,know,3626,KNOW
72-lake,lake,624,LAKE
73-land,land,626,LAND
74-larva,larva,2640,LARVA
75-leg,leg,1297,LEG
76-locative,locative,,
77-macaw,macaw,1630,MACAW
78-man,man,1554,MAN
79-manioc,manioc,925,CASSAVA
80-monkey,monkey,1350,MONKEY
81-monkeysp,monkey sp.,434,SPIDER MONKEY
82-mosquito,mosquito,1509,MOSQUITO
83-mouth1,mouth1,674,MOUTH
84-mouth2,mouth2,674,MOUTH
85-mythicalbeing,mythical being,2138,LEGENDARY CREATURE
86-name,name,1405,NAME
87-navel,navel,1838,NAVEL
88-non3rdanimateperson,non.3rd.animate.person,2642,HE OR SHE
89-nose,nose,1221,NOSE
90-paca,paca,316,PACA
91-pacufish,pacu fish,227,FISH
92-palmweevil,palm-weevil,,
93-parrot,parrot,882,PARROT
94-path,path,2252,PATH
95-peccary,peccary,2390,PECCARY
96-penis,penis,1222,PENIS
97-people,people,789,PEOPLE
98-plant,plant,653,PLANT (VEGETATION)
99-poison,poison,655,POISON
100-pot,pot,1462,POT
101-pupunha,pupunha,,
102-red,red,156,RED
103-river,river,666,RIVER
104-root,root,670,ROOT
105-rub,rub,1449,RUB
106-sleep,sleep,1585,SLEEP
107-snake,snake,730,SNAKE
108-spider,spider,843,SPIDER
109-squeeze,squeeze,1414,SQUEEZE
110-stone,stone,857,STONE
111-stop,stop,3351,STOP DOING
112-stump,stump,241,TREE STUMP
113-swell,swell,1573,SWELL
114-tapir,tapir,312,TAPIR
115-termite,termite,883,TERMITE
116-thorn,thorn,124,THORN
117-three,three,492,THREE
118-thunder,thunder,1150,THUNDER
119-tobite,to bite,1403,BITE
120-tocry,to cry,1839,CRY
121-tosmokemeat,to smoke meat,1689,SMOKE (INHALE)
122-toadsp,toad sp.,894,TOAD
123-tobacco,tobacco,974,TOBACCO
124-tocandiraant,tocandira ant,,
125-tongue,tongue,1205,TONGUE
126-tooth,tooth,1380,TOOTH
127-tortoise,tortoise,895,TORTOISE
128-toucan,toucan,308,TOUCAN
129-trairafish,traira fish,,
130-tree,tree,906,TREE
131-urinate,urinate,592,PISS
132-urucumachiote,urucum (achiote),,
133-wait,wait,1590,WAIT (FOR)
134-wasp,wasp,1517,WASP
135-water,water,948,WATER
136-white,white,1335,WHITE
137-wife,wife,1199,WIFE
138-wind,wind,960,WIND
139-woman,woman,962,WOMAN
140-woodpecker,woodpecker,2447,WOODPECKER
141-yam,yam,410,YAM
142-youall,you all,1213,YOU
