NUMBER,"GLOSS",CONCEPTICON_ID
1,"3rd.person.masculine",1211
2,"agouti",313
3,"ant sp.",587
4,"aracu fish",
5,"armadillo",1885
6,"back",1291
7,"bat",1793
8,"big",1202
9,"black",163
10,"black_ink",
11,"blood",946
12,"blow",175
13,"bone",1394
14,"break",680
15,"breast",1402
16,"buriti palm",
17,"capybara",314
18,"cará(Dioscorea alata)",
19,"Case: non-nominatvie",
20,"centipede",1974
21,"charcoal (1)",1188
22,"charcoal (2)",1188
23,"cheek",1730
24,"chew",321
25,"chili",
26,"cold",2483
27,"cut",1432
28,"dance",1879
29,"deer",1936
30,"distant",1406
31,"dove",1853
32,"duck",1360
33,"ear",1247
34,"egg",744
35,"elder",2112
36,"elevated structure (shelves roof etc.)",
37,"end",742
38,"excrement",675
39,"face",1560
40,"father",1217
41,"feminine",
42,"fire",221
43,"fish",227
44,"fish with a net",1340
45,"fishing net",841
46,"float",1574
47,"flower",239
48,"foot",1301
49,"fruit sp.",1507
50,"garden",586
51,"gather",7
52,"grand-father",1383
53,"grape",920
54,"grass",606
55,"green",1425
56,"handpalm",
57,"head",1256
58,"heavy",1210
59,"heron",758
60,"hole",1667
61,"hot",1286
62,"house",1252
63,"hummingbird",1589
64,"I",1209
65,"inga (fruit sp.)",
66,"insect sp.",620
67,"jaguar",1250
68,"jenipapo",
69,"kapok",2499
70,"king-fisher",2444
71,"know",1410
72,"lake",624
73,"land",626
74,"larva",
75,"leg",1297
76,"locative",
77,"macaw",1630
78,"man",1554
79,"manioc",927
80,"monkey",1350
81,"monkey sp.",434
82,"mosquito",1509
83,"mouth1",674
84,"mouth2",674
85,"mythical being",
86,"name",1405
87,"navel",1838
88,"non.3rd.animate.person",262
89,"nose",1221
90,"paca",316
91,"pacu fish",227
92,"palm-weevil",
93,"parrot",882
94,"path",2252
95,"peccary",2390
96,"penis",1222
97,"people",789
98,"plant",653
99,"poison",655
100,"pot",1462
101,"pupunha",
102,"red",156
103,"river",666
104,"root",670
105,"rub",1449
106,"sleep",1585
107,"snake",730
108,"spider",843
109,"squeeze",1414
110,"stone",857
111,"stop",1928
112,"stump",241
113,"swell",1573
114,"tapir",312
115,"termite",883
116,"thorn",124
117,"three",492
118,"thunder",1150
119,"to bite",1403
120,"to cry",1839
121,"to smoke meat",1689
122,"toad sp.",894
123,"tobacco",974
124,"tocandira ant",
125,"tongue",1205
126,"tooth",1380
127,"tortoise",895
128,"toucan",308
129,"traira fish",
130,"tree",906
131,"urinate",592
132,"urucum (achiote)",
133,"wait",1590
134,"wasp",1517
135,"water",948
136,"white",1335
137,"wife",1199
138,"wind",960
139,"woman",962
140,"woodpecker",2447
141,"yam",410
142,"you all",98
