ID,ID_in_raw,Name,ISO639P3code,Glottocode
Piratapuyo,PIR,Piratapuyo,pir,pira1254
Bar,BAR,Bar,bao,waim1255
Barasano,BAS,Barasano,bsn,bara1380
Desano,DES,Desano,des,desa1247
Makuna,MAK,Makuna,myy,macu1260
Tatuyo,TAT,Tatuyo,tav,tatu1247
Koreguahe,KOR,Koreguahe,coe,kore1283
Siriano,SIR,Siriano,sri,siri1274
Siona,SIO,Siona,snn,sion1247
Kubeo,KUB,Kubeo,cub,cube1242
Pisamira,PIS,Pisamira,,pisa1245
Sekoya,SEK,Sekoya,sey,seco1241
Wanano,WAN,Wanano,gvc,guan1269
Yuruti,YUR,Yuruti,yui,yuru1263
Tanimuka,TAN,Tanimuka,tnc,tani1257
Tuyuka,TUY,Tuyuka,tue,tuyu1244
Tukano,TUK,Tukano,tuo,tuca1252
Maihiki,MAI,Maihiki,ore,orej1242
Karapan,KAR,Karapan,cbc,cara1272
Kueretu,KUE,Kueretu,,cure1236
Yupua,YUP,Yupua,,jupu1235
Prototucanoan,*PT,Proto-Tucanoan,,tuca1253
